apt_name,address,build_year,total_households,total_floor_area,prop_under_60,prop_60_to_85,prop_85_to_135,prop_over_135,latitude,longitude
개봉건영,서울특별시 구로구 고척로21나길 85-6,1994,209,24523.0,0.0,100.0,0.0,0.0,37.5011622,126.8406749
잠원한신그린,서울특별시 서초구 신반포로33길 71,1993,150,17968.0,0.0,100.0,0.0,0.0,37.5133709,127.0078749
명일삼익그린11차,서울특별시 강동구 명일로 376,1986,152,18346.0,0.0,60.5,39.5,0.0,37.5518066,127.1504982
여의도초원,서울특별시 영등포구 국회대로76가길 11,1971,153,13657.0,0.0,100.0,0.0,0.0,37.5309637,126.9231927
엠브이아파트,서울특별시 서초구 고무래로10길 39,1994,154,21910.0,35.1,39.0,26.0,0.0,37.4992014,127.0102751
신도림우성5차,서울특별시 구로구 신도림로21길 21,1994,154,16328.0,36.4,63.6,0.0,0.0,37.5127235,126.8837922
유원목동,서울특별시 양천구 신목로 77,1990,156,16977.0,0.0,100.0,0.0,0.0,37.5217974,126.8736268
천호현대,서울특별시 강동구 진황도로 47-2,1990,156,13497.0,30.8,69.2,0.0,0.0,37.5383992,127.1329005
중화극동,서울특별시 중랑구 봉화산로27길 32,1991,156,17030.0,0.0,100.0,0.0,0.0,37.6036519,127.0837949
자양한강극동,서울특별시 광진구 능동로3길 53,1991,158,17449.0,0.0,100.0,0.0,0.0,37.5336956,127.0644764
가락현대6차,서울특별시 송파구 송이로19길 8,1991,160,17690.0,0.0,100.0,0.0,0.0,37.4972327,127.1226268
여의도화랑,서울특별시 영등포구 국제금융로7가길 21,1977,160,20628.0,0.0,0.0,75.0,25.0,37.5221449,126.9355476
문래진주,서울특별시 영등포구 선유로9길 31,1984,160,20732.0,0.0,50.0,50.0,0.0,37.5171755,126.8847882
신길삼두,서울특별시 영등포구 여의대방로61길 19,1987,160,10684.0,100.0,0.0,0.0,0.0,37.5143228,126.9238594
경남아파트-응암경남,서울특별시 은평구 가좌로7나길 35,1995,160,17366.0,39.4,60.6,0.0,0.0,37.5833193,126.9203156
